Date,AE
2009-04-01,0.01494979362515498
2009-07-01,0.015915948440467863
2009-10-01,0.016294409456438015
2010-01-01,0.018513156723388734
2010-04-01,0.014031603934533558
2010-07-01,0.013732117248072242
2010-10-01,0.012938300803575574
2011-01-01,0.015890787200740268
2011-04-01,0.014582316653474021
2011-07-01,0.0152035739849299
2011-10-01,0.013545303200679829
2012-01-01,0.01672548864460181
2012-04-01,0.013325190011437163
2012-07-01,0.01346199204380375
2012-10-01,0.014622326835371968
2013-01-01,0.013549056437192576
2013-04-01,0.012082806752817567
2013-07-01,0.013404187904224324
2013-10-01,0.015348879758737164
2014-01-01,0.015162914656029758
2014-04-01,0.01230579029200345
2014-07-01,0.01402723397839532
2014-10-01,0.017104832409670187
2015-01-01,0.022990167393623105
2015-04-01,0.01647952116266605
2015-07-01,0.020961660309938394
2015-10-01,0.027661261240026446
2016-01-01,0.031864359104000775
2016-04-01,0.02180448175121237
2016-07-01,0.017935716124418265
2016-10-01,0.022718958732796998
2017-01-01,0.021392580747406773
2017-04-01,0.02477937468143466
2017-07-01,0.022703506149385825
2017-10-01,0.02406049916540185
2018-01-01,0.02469881541250468
2018-04-01,0.013318081149464615
2018-07-01,0.023799744315131464
2018-10-01,0.02507128508639497
2019-01-01,0.02553917743147664
2019-04-01,0.027887580703936495
2019-07-01,0.024775546316101165
2019-10-01,0.02482609637707593
2020-01-01,0.025460006422972095
2020-04-01,0.026136825596313574
2020-07-01,0.02335104160121564
2020-10-01,0.027629416369813274
2021-01-01,0.023066929505579307
2021-04-01,0.021932559436806245
2021-07-01,0.020025497091845156
2021-10-01,0.017855760662073387
2022-01-01,0.019828042979954646
2022-04-01,0.019682442253752114
2022-07-01,0.016184881925507922
2022-10-01,0.018776776576116497
2023-01-01,0.021676044570996054
2023-04-01,0.021717416269820673
2023-07-01,0.019694659645577626
2023-10-01,0.02017895420647221
2024-01-01,0.02161815745510431
2024-04-01,0.023636315500224738
2024-07-01,0.022073453987755776
