Date,NCI
2009-04-01,0.00471700138703344
2009-07-01,0.00457681486328335
2009-10-01,0.004998778786468087
2010-01-01,0.004682361592332725
2010-04-01,0.00361299248528242
2010-07-01,0.003955133976835081
2010-10-01,0.004074512910906051
2011-01-01,0.004421946404327636
2011-04-01,0.003790860948101603
2011-07-01,0.004304338775036582
2011-10-01,0.004291088591858592
2012-01-01,0.004419213754561841
2012-04-01,0.0037084024257207234
2012-07-01,0.0037320851945115007
2012-10-01,0.003799714806007131
2013-01-01,0.004461608500026169
2013-04-01,0.0034889896727214754
2013-07-01,0.0036623275075447544
2013-10-01,0.0037642816062099177
2014-01-01,0.004058568305929753
2014-04-01,0.0034343928992692585
2014-07-01,0.003511059370346508
2014-10-01,0.004517372692954167
2015-01-01,0.006436845096821246
2015-04-01,0.0059274206877887
2015-07-01,0.0042196630709422445
2015-10-01,0.0046014807868088635
2016-01-01,0.005625977188918523
2016-04-01,0.005145032734008963
2016-07-01,0.005568190971598998
2016-10-01,0.006865898415971669
2017-01-01,0.0038673846288364336
2017-04-01,0.006741558205986759
2017-07-01,0.007178948369573499
2017-10-01,0.007962725418902465
2018-01-01,0.006545864763354506
2018-04-01,0.00516161675430455
2018-07-01,0.008527986478914288
2018-10-01,0.008994553858835323
2019-01-01,0.0082551396161442
2019-04-01,0.008429724521525631
2019-07-01,0.00884996800551617
2019-10-01,0.008509735751279186
2020-01-01,0.008807770732739513
2020-04-01,0.00845876268403604
2020-07-01,0.007227344600752289
2020-10-01,0.007762689447127016
2021-01-01,0.008023402926236515
2021-04-01,0.007039957202084501
2021-07-01,0.006768584284456741
2021-10-01,0.006104771907589745
2022-01-01,0.007419080858996442
2022-04-01,0.006861199793588559
2022-07-01,0.004712532558997649
2022-10-01,0.007370244260819085
2023-01-01,0.0074234659849606545
2023-04-01,0.005789336282705265
2023-07-01,0.004816702860807873
2023-10-01,0.003688240456560437
2024-01-01,0.00443822020446773
2024-04-01,0.004215667103190276
2024-07-01,0.005037125145500592
