Date,NII
2009-04-01,82636.46385542168
2009-07-01,73343.66071428571
2009-10-01,78161.28143712576
2010-01-01,82479.04166666667
2010-04-01,71532.67283950618
2010-07-01,67512.9263803681
2010-10-01,85920.25153374232
2011-01-01,83651.69325153374
2011-04-01,81062.46341463414
2011-07-01,74484.93292682926
2011-10-01,83111.44512195123
2012-01-01,81524.0
2012-04-01,74096.42428582822
2012-07-01,74026.0975604878
2012-10-01,82621.64580417179
2013-01-01,72765.88036292684
2013-04-01,68974.23716609756
2013-07-01,76825.74978430303
2013-10-01,76079.81062457831
2014-01-01,81611.65334748503
2014-04-01,89521.91229833334
2014-07-01,87301.5120047205
2014-10-01,89886.53310180646
2015-01-01,96443.11570391891
2015-04-01,99145.9002231387
2015-07-01,126559.227143125
2015-10-01,122663.53745508197
2016-01-01,27862.3674980556
2016-04-01,112546.1667634259
2016-07-01,123103.44410619048
2016-10-01,127919.55293799995
2017-01-01,108300.5486289691
2017-04-01,134817.6153483871
2017-07-01,149471.46601166666
2017-10-01,154589.6889226667
2018-01-01,189096.76636780487
2018-04-01,135642.22154841464
2018-07-01,283749.47764792683
2018-10-01,227789.6350462963
2019-01-01,288908.46529624995
2019-04-01,343989.0751023377
2019-07-01,281853.67269423086
2019-10-01,320036.61161946674
2020-01-01,327620.2272685332
2020-04-01,331225.6070985135
2020-07-01,333910.69303
2020-10-01,347237.5805456756
2021-01-01,374311.33381082205
2021-04-01,415592.5477343055
2021-07-01,473903.4057048611
2021-10-01,267697.7481427777
2022-01-01,808527.2599412677
2022-04-01,610097.9919247887
2022-07-01,606626.171974058
2022-10-01,657571.4051488022
2023-01-01,771595.9506982603
2023-04-01,840977.9823088063
2023-07-01,880357.8560307693
2023-10-01,976555.7550376919
2024-01-01,1032275.8570139688
2024-04-01,1092844.4076392062
2024-07-01,1120227.9861412698
