Date,LAS
2019-01-01,450591.7815
2019-02-01,501242.73973
2019-03-01,490846.5961
2019-04-01,452326.84935
2019-05-01,457722.20634
2019-06-01,462371.2027
2019-07-01,465654.16506
2019-08-01,414745.39959
2019-09-01,410427.89095
2019-10-01,396747.94441
2019-11-01,435153.6501
2019-12-01,521150.1121600001
2020-01-01,715822.6003899999
2020-02-01,631086.3505000001
2020-03-01,647085.12936
2020-04-01,589052.89296
2020-05-01,580098.87659
2020-06-01,654039.36327
2020-07-01,761655.48421
2020-08-01,711924.99655
2020-09-01,680404.3716
2020-10-01,829977.81047
2020-11-01,852796.6222499999
2020-12-01,967194.28134
2021-01-01,1123303.84005
2021-02-01,1069889.48865
2021-03-01,1115489.10144
2021-04-01,1300111.05827
2021-05-01,1309491.0563200002
2021-06-01,1351109.58904
2021-07-01,1431297.1935200002
2021-08-01,1554790.8799900005
2021-09-01,1377282.18539
2021-10-01,1432227.72232
2021-11-01,1573674.32014
2021-12-01,1753231.50614
2022-01-01,1977339.93222
2022-02-01,1883302.53743
2022-03-01,1385872.445225
2022-04-01,1693483.01991
2022-05-01,1503488.97984
2022-06-01,1795901.13844
2022-07-01,1416859.32703
2022-08-01,1396478.78729
2022-09-01,1385307.44
2022-10-01,1554955.4837
2022-11-01,1573498.24257
2022-12-01,1542014.20639
2023-01-01,2197048.81537
2023-02-01,2177212.168425
2023-03-01,2195211.46524
2023-04-01,2203324.2729
2023-05-01,2208396.3300300003
2023-06-01,2117128.97128
2023-07-01,2560347.8422100004
2023-08-01,2676865.52456
2023-09-01,2577679.259405
2023-10-01,2244508.75924
2023-11-01,2205042.02286
2023-12-01,2409606.4489
2024-01-01,2904350.04844
2024-02-01,2630000.60381
2024-03-01,2549888.21879
