Date,CASH
2009-04-01,0.08691190615250599
2009-07-01,0.10008434487093175
2009-10-01,0.0967532963614904
2010-01-01,0.11413909873831404
2010-04-01,0.11055599769413704
2010-07-01,0.1296672325599458
2010-10-01,0.1425514175513761
2011-01-01,0.1364701137994026
2011-04-01,0.1268059615610451
2011-07-01,0.1377687170664969
2011-10-01,0.12366019331190145
2012-01-01,0.1112666129478503
2012-04-01,0.1122356102251998
2012-07-01,0.1007671719229574
2012-10-01,0.1040388174964041
2013-01-01,0.1166040072300641
2013-04-01,0.1151949639779015
2013-07-01,0.1057624859048163
2013-10-01,0.1226142041448759
2014-01-01,0.1275372370110663
2014-04-01,0.11633467202595985
2014-07-01,0.1075561059083876
2014-10-01,0.1086760890916141
2015-01-01,0.11190800160181599
2015-04-01,0.1058676062078323
2015-07-01,0.1068084055770884
2015-10-01,0.11114286504253046
2016-01-01,0.09525293360899151
2016-04-01,0.1179444378456222
2016-07-01,0.12839087764092744
2016-10-01,0.12619124475096474
2017-01-01,0.105655283674519
2017-04-01,0.1061902565247872
2017-07-01,0.1200771921147587
2017-10-01,0.0594884291497032
2018-01-01,0.04699114600650285
2018-04-01,0.055563541992227156
2018-07-01,0.0570557465732241
2018-10-01,0.0532974126744283
2019-01-01,0.05782263768900105
2019-04-01,0.0575527712486117
2019-07-01,0.0577382357972555
2019-10-01,0.0612621692827075
2020-01-01,0.0628348490220485
2020-04-01,0.0607292437596409
2020-07-01,0.0598957491955684
2020-10-01,0.06402833345015385
2021-01-01,0.0647651275539122
2021-04-01,0.0571543474116376
2021-07-01,0.055777178953943
2021-10-01,0.054659438381592304
2022-01-01,0.0557638060270176
2022-04-01,0.0624459259170754
2022-07-01,0.0512711901774321
2022-10-01,0.0451086131186124
2023-01-01,0.0536453507496723
2023-04-01,0.0730857370095655
2023-07-01,0.0814636184494312
2023-10-01,0.0818349994601174
2024-01-01,0.084504906854578
2024-04-01,0.0811768178234238
2024-07-01,0.0848937820096457
