Date,TA
2009-04-01,0.00109041819271805
2009-07-01,0.0009913309531115
2009-10-01,0.0009856388842778
2010-01-01,0.0010793822261033
2010-04-01,0.0010212697726949
2010-07-01,0.00099055007887
2010-10-01,0.0011639525107655
2011-01-01,0.0012012586960251
2011-04-01,0.0012244411901813001
2011-07-01,0.0012839267914368
2011-10-01,0.0013233079367101
2012-01-01,0.0014099349279082
2012-04-01,0.0015052547642194
2012-07-01,0.0015233422405172
2012-10-01,0.001402392346618
2013-01-01,0.0015586486998271
2013-04-01,0.0014021384688445
2013-07-01,0.0013923264391813
2013-10-01,0.0014636777537056001
2014-01-01,0.0012604208690458
2014-04-01,0.0011792693433619501
2014-07-01,0.0010944939733468
2014-10-01,0.0011408808107734
2015-01-01,0.0010985908413338
2015-04-01,0.0010882411895431
2015-07-01,0.0010598652269244
2015-10-01,0.0010595375571437501
2016-01-01,0.0011695099112581
2016-04-01,0.0009663188451843
2016-07-01,0.0009767880058202
2016-10-01,0.0012057954603350001
2017-01-01,0.0011690006569722
2017-04-01,0.001116448676835
2017-07-01,0.0011848318787477
2017-10-01,0.0012230292190125
2018-01-01,0.00112749581927385
2018-04-01,0.0010563275223939498
2018-07-01,0.0010681282989251002
2018-10-01,0.0010907315806108
2019-01-01,0.0010756445243629
2019-04-01,0.0011406770902082
2019-07-01,0.00115259654040445
2019-10-01,0.0011812639324415
2020-01-01,0.001187513996619
2020-04-01,0.00124838116134695
2020-07-01,0.0011778104157014499
2020-10-01,0.00125175584046875
2021-01-01,0.0013749683083192
2021-04-01,0.0015914675403086
2021-07-01,0.0017396431402779
2021-10-01,0.00197165471854765
2022-01-01,0.001920318613142
2022-04-01,0.0019357356530698
2022-07-01,0.0018706711561913
2022-10-01,0.0016032617561419
2023-01-01,0.0016741832192878
2023-04-01,0.0017767476700467
2023-07-01,0.00157140861744
2023-10-01,0.0016403822939851
2024-01-01,0.0019698284052771
2024-04-01,0.002055993013227
2024-07-01,0.0019463606583555
